,questions,answers
944,Where should a copy of the application for an Original Inspection be sent?,"A copy of the application for an Original Inspection should be sent to the Chief Inspector at: P.O. Box 34518 | Memphis, TN 38184-0518, USA"
945,What is the contact number for the Chief Inspector?,The contact number for the Chief Inspector is (901) 382-6419.
946,What is the purpose of an Original Inspection?,An Original Inspection is binding only upon those parties who agreed to recognize it in the individual transaction in which it is involved.
947,Can an Original Inspection be imposed on any seller or buyer?,"No, no member or officer of the Association possess the authority to impose an Original Inspection upon any seller or buyer."
948,What can be requested in an application for an Original Inspection?,An application for an Original Inspection may request that the inspection be made at the point of origin or at the destination when authorized in the purchaser contract or by special agreements.
949,What are the charges for instruction by members of the inspection staff?,"The charges for instruction by members of the inspection staff are at the same per diem rate as other services plus expenses for transportation, room, and meals."
950,Who should non-members make application to for official inspection services?,Non-members should make application to the Executive Office for official inspection services.
951,What is the purpose of Article XII?,Article XII deals with cancellations in buyer-seller contracts.
952,Under what circumstances can a seller cancel an order?,A seller can cancel an order if the buyer's credit is found to be impaired and they fail to provide satisfactory security for payment.
953,When can a buyer cancel an order?,A buyer can cancel an order if it becomes apparent that the seller cannot make delivery or if delivery is unreasonably delayed.
954,Is revoking a contract or purchasing requirements a valid reason for cancellation?,"No, revocation or purchasing requirements are not valid reasons for cancellation."
955,What does arbitration recommend for resolving disputes?,Arbitration is recommended for resolving disputes between sellers and buyers.
956,What is the customary procedure in arbitration cases?,The customary procedure is to select an arbitrator.
957,What is the basis of the NHLA code?,The NHLA code is based on the principle of good faith and fairness.
958,How many warnings can an association member receive in a twelve-month period before a letter is sent?,An association member can receive three warnings in a twelve-month period.
959,What does the NHLA disclose if no appeal is made or if the appeal is dismissed?,"The NHLA discloses that a warning was sent, the date it was sent, and whether any other warnings had been sent."
960,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
961,"What is the maximum allowable end shake in pieces 5"" and less in thickness?",End shake may be admitted in two annular ring growths not to exceed one-fourth of the length of the ring growth segment.
962,What is the maximum allowable surface shake in boxed bears?,Surface shake may be admitted up to 1/12 of the length of the piece in the aggregate.
963,What is the maximum allowable splits in length?,"Splits shall not exceed 6"" in length in any one end or the aggregate equivalent in one or both ends of the piece."
964,What are some common dimensions for Freight Car Stock & Mine Car Lumber?,"Common dimensions include specified sizes and lengths, with square edges."
965,What imperfections are admitted in Freight Car Stock & Mine Car Lumber?,"Imperfections that may be admitted include stain, ordinary season checks, bird packs, pin, spot and shot worm holes, and an occasional grub worm hole."
966,How many sound knots are allowed in each 6 lineal feet?,One sound knot up to one-half the width of the surface on which it appears may be admitted in each 6 lineal feet.
967,What are the knot restrictions based on thickness?,"In pieces less than 5"" thick, knots should not exceed 3/4"". In pieces 5"" to 10"" thick, knots should not exceed 1"". In pieces 11"" and thicker, knots should not exceed 1-1/2""."
968,What is the allowable wane in boxed hearts?,"Wane not exceeding one-fourth of the width of the surface on which it appears will be admitted on one corner, or this amount may be divided and show on two or more corners."
969,"What is the maximum allowable wane in pieces 5"" and less in thickness?","Wane may be admitted up to one-third of the width, one-third of the thickness, and one-third the length of the piece in the aggregate."
970,"When is pin allowed in pieces 5"" and thicker?",Pin may be admitted when it is either
971,What does Virginia pine grow to be used for in the southern states?,Virginia pine is often grown for Christmas trees.
972,How should rough dimension stock be counted?,Rough dimension stock should be counted as of the nominal specified size.
973,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
974,What is the maximum or minimum percentage of heartwood or approach admitted?,Contracts for special grades under a heartwood or approach specification shall state the maximum or minimum percentage of heartwood or approach desired.
975,How are width and length tallying counted?,"In tallying, the width, pieces meaning to the even half inch are alternately counted as of the next higher or lower width."
976,What is the height that Virginia pine can grow to?,Virginia pine grows to a height of 40 to 60 feet.
977,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
978,What is another term for 'tally on 12 n'?,"The terms 'export tally,' 'width and length tally' and 'tally on 12 n' are synonymous."
979,What are considered ordinary and admitted in clear face cuttings?,Season checks are considered ordinary and are admitted in clear face cuttings if they will draw out at standard surfaced thickness.
980,What should contracts for special grades under a heartwood or approach specification state?,Contracts for special grades under a heartwood or approach specification shall state the maximum or minimum percentage of heartwood or approach desired and how it shall be calculated.
981,What is wane?,"Wane is bark, or the lack of wood or bark, on the edge or corner of a piece."
982,How wide can a slight wave be?,"A slight wave can be up to 1/4"" wide on the surface on which it appears, for one-sixth of the length and one-fourth the thickness of the piece."
983,What is considered a medium wave?,"A medium wave is over 1/4"" but not more than 1/2"" wide on the surface on which it appears, for one-sixth the length and one-fourth the thickness of the piece."
984,How wide is a large wave?,"A large wave is over 1/2"" wide on the surface on which it appears, and/or over one-sixth the length and one-fourth the thickness of the piece."
985,What are the standard grades of forestry?,"The standard grades are Selects & Better, No. 1 Common, No. 2 Common, and Peck."
986,What is the recommended use for Selects & Better grade?,"The Selects & Better grade should be specified for any use where appearance is of the utmost importance, such as paneling, flooring, partition, etc."
987,What is the minimum size for a Selects & Better board?,"The minimum size for a Selects & Better board is 4"" x 8', allowing 25% odd lengths."
988,How is Selects & Better grade graded?,"Selects & Better grade is graded from the better face, with the reverse side not being below No. 1 Common. Sapwood should have no defects, and wane on the No. 1 Common side shall not exceed 1/2 thickness or 1/3 length or 1/6 width in the aggregate."
989,"What are the allowances for pieces 4"" and 5"" wide in Selects & Better grade?","Pieces 4"" and 5"" wide must be clear, allowing a slight wave on one edge."
990,"What are the allowances for pieces 6"" and wider in Selects & Better grade?","Pieces 6"" and wider admit a split equal to the width of the board in the aggregate, wane equal to 1/2 the thickness and twice the length in inches and 8/4"" wide, as described in paragraph 76."
991,What is the purpose of these rules for Cypress lumber?,These rules are for the inspection of Cypress lumber.
992,What should be included when requesting an inspection of Cypress lumber at the leading point?,A copy of the order on which the shipment is to be made should be included.
993,How should lumber be inspected and measured?,"Lumber should be inspected and measured as the inspector finds it, of full length and width."
994,What is the grade preference for Cypress lumber?,"The grade preference for Cypress lumber is in the following order: Selects & Bettir, No. 1 Common, No. 2 Common, and Peck."
995,What does the inspector base the grade on?,The inspector bases the grade on the better face of the board.
996,What is the grade of the reverse side in Selects & Bettir?,The reverse side of Selects & Bettir shall grade not below No. 1 Common.
997,What grade does the reverse side of No. 2 Common not prevent?,The reverse side of No. 2 Common does not prevent the serviceability of this utility grade.
998,How should lumber of standard size be tallied?,Lumber of standard size should be tallied board measure.
999,How should the board-foot measurement be based for lumber less than 1 inch thick?,The board-foot measurement for lumber less than 1 inch thick should be based on the surface dimensions.
1000,How is the tally of lumber thicker than 1 inch measured?,The tally of lumber thicker than 1 inch is measured in board measure feet.
1001,What is the volume of 1 cubic centimeter (cm3) in cubic inches?,1 cubic centimeter (cm3) is equal to 0.061 cubic inches.
1002,What is the volume of 1 cubic inch in cubic centimeters?,1 cubic inch is equal to 16.39 cubic centimeters.
1003,What is the volume of 1 cubic decimeter (dm3) in cubic feet?,1 cubic decimeter (dm3) is equal to 0.0353 cubic feet.
1004,What is the volume of 1 cubic foot in cubic decimeters?,1 cubic foot is equal to 28.317 cubic decimeters.
1005,What is the volume of 1 cubic meter (m3) in cubic feet?,1 cubic meter (m3) is equal to 35.34 cubic feet.
1006,What is the volume of 1 cubic meter (m3) in cubic yards?,1 cubic meter (m3) is equal to 1.308 cubic yards.
1007,What is the volume of 1 cubic yard in cubic meters?,1 cubic yard is equal to 0.7646 cubic meters.
1008,How many board feet are in 1 cubic meter of lumber?,1 cubic meter of lumber is equal to 424 board feet.
1009,How many cubic centimeters are in 1 board foot of lumber?,"1 board foot of lumber is equal to 2,359 cubic centimeters."
1010,How many cubic meters are in 1 board foot of lumber?,1 board foot of lumber is equal to 0.0024 cubic meters.
1011,What are the lengths for CLEAR grade in forestry?,The lengths for CLEAR grade are 8' to 16'.
1012,What are the characteristics of NO. 1 COMMON grade in forestry?,NO. 1 COMMON grade yields 66-2/3% clear face in not over two cuttings in 6' to 11' and not over three cuttings in 12' and longer.
1013,What are the length and width requirements for cutting in NO. 1 COMMON grade?,"The length requirement is not less than 2' long and the width requirement is not less than 2"" wide in pieces 2"" and 2-1/2"" wide, nor less than 3"" wide in pieces 3"" and wider."
1014,What are the length requirements for NO. 2 COMMON grade?,The length requirement for NO. 2 COMMON grade is 6' to 16'.
1015,What is the clear face yield requirement for NO. 2 COMMON grade?,"NO. 2 COMMON grade shall yield 50% clear face in cutting 2"" or wider by 2' or longer."
1016,What are the characteristics of CLEAR grade cherry strips?,CLEAR grade cherry strips shall be free from sapwood on the better face.
1017,What is the requirement for sapwood in NO. 1 COMMON grade cherry strips?,Cuttings in NO. 1 COMMON grade cherry strips shall be free of sapwood on the clear face.
1018,What are the available grades for plain and quartered oak strips?,"The available grades are Clear, Clear Sap, No. 1 Common, and No. 2 Common, with the exception that Quartered Oak Strips shall have the radial grain running 45-1/4 or less with one face of the piece."
1019,What is the bevel requirement for Clear and Clear Sap grades in oak strips?,Bevel on the clear face side of the piece shall be measured off in Clear and Clear Sap grades.
1020,What defects are allowed on the reverse side of oak strips excluding bevel?,"The reverse side will admit level or want or their equivalent in other defects, not exceeding one-third the length, one-third the width and one-third the thickness of the piece and shall otherwise be sound."
